"","identifier","names","names_2","x","values","lag_sign","Stable","beta","alpha","gamma","W","W1","W2","c","v","r","k","interest_rate","sigma","spec","transformation","id_2"
"296",90,"ss_bertrand_lq","ss_bertrand_lq1",17433.5,0.0171562524363367,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 3142.55 and v= 0 and gamma 173.750176956924",1
"297",90,"ss_cournot_lq","ss_cournot_lq1",17449.5,0.065616610541781,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 3142.55 and v= 0 and gamma 173.750176956924",1
"298",91,"ss_monop_lq","ss_monop_lq1",17286.5,0.0669637389963214,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 1077.16 and v= 0 and gamma 157.954706324477",1
"299",91,"ss_bertrand_lq","ss_bertrand_lq1",17434.5,0.0187596608236049,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 1077.16 and v= 0 and gamma 157.954706324477",1
"300",91,"ss_cournot_lq","ss_cournot_lq1",17450.5,0.0689773331693004,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,200,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 1077.16 and v= 0 and gamma 157.954706324477",1
"301",92,"ss_monop_lq","ss_monop_lq1",17287,0.0432763283288295,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= Inf and v= 0.01 and gamma 15637.5159261232",1
"302",92,"ss_bertrand_lq","ss_bertrand_lq1",17432.5,0.0643189792489807,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= Inf and v= 0.01 and gamma 15637.5159261232",1
"303",92,"ss_cournot_lq","ss_cournot_lq1",17448,0.0366098149393679,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,80936.9237957287,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= Inf and v= 0.01 and gamma 15637.5159261232",1
"304",93,"ss_monop_lq","ss_monop_lq1",17287,0.0432763283288295,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 35921.97 and v= 0.01 and gamma 1563.75159261232",1
"305",93,"ss_bertrand_lq","ss_bertrand_lq1",17433.5,0.0659027533046697,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 35921.97 and v= 0.01 and gamma 1563.75159261232",1
"306",93,"ss_cournot_lq","ss_cournot_lq1",17449,0.0399410370696387,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,71943.9322628699,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 35921.97 and v= 0.01 and gamma 1563.75159261232",1
"307",94,"ss_monop_lq","ss_monop_lq1",17287,0.0432763283288295,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 12570.19 and v= 0.01 and gamma 781.87579630616",1
"308",94,"ss_bertrand_lq","ss_bertrand_lq1",17434.5,0.0675061837638964,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 12570.19 and v= 0.01 and gamma 781.87579630616",1
"309",94,"ss_cournot_lq","ss_cournot_lq1",17450,0.0432919189950098,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,62950.9407300112,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 12570.19 and v= 0.01 and gamma 781.87579630616",1
"310",95,"ss_monop_lq","ss_monop_lq1",17287,0.0432763283288295,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 6732.24 and v= 0.01 and gamma 312.750318522464",1
"311",95,"ss_bertrand_lq","ss_bertrand_lq1",17435.5,0.0691292706825379,2,"Stable",1563.75159261232,1625836.98199308,156.375159261232,3.74653378332899,13012.5904513667,0.75,500,53957.9491971524,0.201282685349239,20226,0.1,0.0000200307674145246,"v and c and gamma","c= 6732.24 and v= 0.01 and gamma 312.750318522464",1
